,gene_name,total_highly_variable,total_velocity_genes,total_fit_loss,317s1_highly_variable,317s1_velocity_genes,317s1_fit_loss,317s2_highly_variable,317s2_velocity_genes,317s2_fit_loss,320s1_highly_variable,320s1_velocity_genes,320s1_fit_loss,320s2_highly_variable,320s2_velocity_genes,320s2_fit_loss,323s1_highly_variable,323s1_velocity_genes,323s1_fit_loss,323s2_highly_variable,323s2_velocity_genes,323s2_fit_loss,326s1_highly_variable,326s1_velocity_genes,326s1_fit_loss,326s2_highly_variable,326s2_velocity_genes,326s2_fit_loss,329s1_highly_variable,329s1_velocity_genes,329s1_fit_loss,329s2_highly_variable,329s2_velocity_genes,329s2_fit_loss,overdisp_S,overdisp_U,nonzero_S,nonzero_U
3275,Tbcb,,,,,,,,,,,,,,,,True,False,0.34043237566947937,,,,,,,True,False,0.42326852679252625,,,,,,,4.05308272880017,2.43041041051392,0.7264610389610389,0.07034632034632035
3276,Tbce,,,,,,,,,,True,False,0.05477450042963028,,,,True,False,0.1892029047012329,,,,True,False,0.08448825031518936,True,False,0.04720452427864075,,,,,,,6.74329595373711,2.82799962165029,0.11634199134199133,0.1517857142857143
3277,Tbck,,,,True,False,0.03075776994228363,True,False,0.02979833446443081,True,False,0.03114304691553116,,,,True,False,0.04607095941901207,True,False,0.02705296128988266,True,False,0.04889163002371788,True,False,0.02344663254916668,,,,True,False,0.04096004739403725,2.48080361783164,1.98725268554335,0.11823593073593075,0.10606060606060606
3278,Tbl1xr1,,,,,,,,,,True,False,0.0659162849187851,True,False,0.04745917767286301,True,False,0.057330016046762466,,,,True,False,0.043723855167627335,True,False,0.07487459480762482,,,,True,False,0.03334125131368637,2.74489037649119,1.49093317401154,0.1387987012987013,0.12987012987012986
3279,Tbpl1,,,,,,,True,False,0.1050577461719513,,,,,,,,,,,,,True,False,0.13038408756256104,,,,True,False,0.09456117451190948,True,False,0.09987576305866241,6.63136032814151,1.35751788705369,0.4234307359307359,0.05654761904761905
3280,Tcaf1,,,,True,False,0.14036284387111664,True,False,0.16606539487838745,True,False,0.08239013701677322,True,False,0.14103929698467255,True,False,0.17007730901241302,True,False,0.13378675282001495,True,False,0.11221228539943695,,,,True,False,0.13483521342277527,True,False,0.13371790945529938,12.3396550404869,1.26178244254004,0.25649350649350655,0.2050865800865801
3281,Tcea1,,,,True,False,0.05341700091958046,True,False,0.03445817157626152,,,,True,False,0.05581501126289368,,,,True,False,0.03207884728908539,True,False,0.03464554250240326,True,False,0.034351106733083725,True,False,0.025878597050905228,True,False,0.038062892854213715,3.31925137100793,1.33552611520399,0.2372835497835498,0.07575757575757576
3282,Tcerg1,,,,,,,True,False,0.05409142002463341,True,False,0.04660484939813614,,,,,,,True,False,0.044291749596595764,,,,True,False,0.047370050102472305,True,False,0.040882524102926254,,,,1.85358019238452,5.65909957991584,0.325487012987013,0.1241883116883117
3283,Tcf12,,,,,,,True,False,0.922758936882019,True,False,1.0826687812805176,,,,,,,,,,True,False,0.7108442187309265,,,,,,,,,,2.6912250754811,4.08578679162216,0.19155844155844157,0.6393398268398267
3284,Tcf20,True,True,0.021543696522712708,True,True,0.0029423064552247524,True,True,0.001643568743020296,True,True,0.0019484611693769693,True,True,0.004464005120098591,True,True,0.004448569845408201,True,True,0.004030399490147829,,,,True,True,0.0050988951697945595,True,True,0.0024464575108140707,True,True,0.0037411870434880257,1.06388156134272,1.0033645772174,0.15395021645021645,0.3392857142857143
